page,commits,first_date,last_date,age_days,since_last_days,stagnant,last_subject
LCDMH_Cadrage_Projet.html,3,2026-04-11,2026-04-18,7,0,no,seo(indexation): retire pages test du sitemap + meta noindex sur maquettes/cadra
_apercu_design_premium/apercu-premium.html,1,2026-04-17,2026-04-17,1,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/REPORT.html,3,2026-04-13,2026-04-13,5,5,no,fix: remplacement GA4 ID G-5DP7XR1C7W -> G-L7JGX5C63D sur 62 pages
_review/alpes-cols-mythiques.html,21,2026-04-07,2026-04-13,11,5,no,fix: remplacement GA4 ID G-5DP7XR1C7W -> G-L7JGX5C63D sur 62 pages
_review/articles/350-km-dans-le-froid-norvegien-le-vent-du-groenland-ma-brise.html,18,2026-04-07,2026-04-17,11,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/aferiy-nano-100-autonomie-electrique-en-road-trip.html,18,2026-04-07,2026-04-17,11,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/alpes-en-moto-barcelonnette-cuneo-benelli-trk-502-ep3.html,18,2026-04-07,2026-04-17,11,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/bivouac-moto-comment-bien-dormir-en-tente-test-nemo-sonic-0.html,20,2026-04-07,2026-04-17,11,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/blackview-xplore-x1-le-telephone-qui-ne-lache-jamais-en-road.html,19,2026-04-07,2026-04-17,11,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/budget-cap-nord-a-moto-seul-10-000-km-couts-et-conseils-prat.html,24,2026-04-06,2026-04-17,12,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/budget-road-trip-moto-norvege-ferries-couchage-conseils.html,13,2026-04-11,2026-04-17,7,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/cols-mythiques-des-alpes-a-moto-trk-502-ep-1.html,20,2026-04-07,2026-04-17,11,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/comparatif-carpuride-2026-w702-w702-pro-w702s-pro-et-702rs-pro.html,26,2026-04-08,2026-04-17,10,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/dunlop-mutant-vs-bridgestone-t33-le-combat-quel-pneu-choisir.html,30,2026-04-07,2026-04-17,11,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/filmer-son-road-trip-moto-setup-camera-dji-gopro.html,13,2026-04-11,2026-04-17,7,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/geirangerfjord-a-moto-le-plus-beau-fjord-de-norvege-road-tri.html,19,2026-04-07,2026-04-17,11,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/gps-moto-gps-offline-u6-va-t-il-sauver-mes-balades-moto-peti.html,21,2026-04-07,2026-04-17,11,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/guide-nettoyage-bulle-moto.html,19,2026-04-07,2026-04-17,11,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/lampe-olight-perun-3-lampe-frontale-parfaite-en-bivouac-test.html,19,2026-04-07,2026-04-17,11,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/le-cap-nord-ca-va-mal-finir-cercle-arctique-polaire-road-tri.html,18,2026-04-07,2026-04-17,11,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/preparation-pour-le-voyage-road-trip-en-trk-702.html,19,2026-04-07,2026-04-17,11,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/quel-carpuride-moto-choisir.html,21,2026-04-07,2026-04-17,11,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/quel-komobi-pro-city-tracker-gps-detecteur-de-chute-antivol.html,19,2026-04-10,2026-04-17,8,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/quel-telephone-pour-road-trip-blackview-x1-renforce-pluie-ch.html,18,2026-04-07,2026-04-17,11,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/radar-moto-comment-ca-marche.html,25,2026-04-06,2026-04-17,12,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/retour-honda-nt-1100-a-26000-kms.html,20,2026-04-07,2026-04-17,11,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/t33-vs-road-6.html,16,2026-04-07,2026-04-17,11,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/test-benelli-trk-702-avis-15000-km-road-trip.html,12,2026-04-11,2026-04-17,7,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
_review/articles/test-honda-nt1100-avis-25000-km-road-trip.html,12,2026-04-11,2026-04-17,7,1,no,SEO : correction 25 titres >60 chars + fix GA4 ID G-7GC33KPRMS
