"Symbole","Description","Distance","Distance totale","Durée","Durée totale"
"⚐","Départ 4 mai 2026  J1 - Direct Annecy -Douvres","0","0","0","0"
"Ⓢ","*shuttle_info - Calais Attention Trouver Point GPS Passage avec la navette ","855753","855753","32279","32279"
"Ⓢ","Étape 2","71559","927312","5016","37295"
"Ⓥ","Couchage Hôtel The Shurland Hotel ","72271","999583","3763","41058"
"Ⓥ"," Old School B&B","534586","1534169","24587","65645"
"Ⓥ","Camping Clachtoll Beach Campsite | N2 | camping | bord de mer","215594","1749764","11142","76786"
"Ⓢ","Room in s13hared flat","24313","1774077","2239","79026"
"Ⓢ"," Calton Hill","6533","1780610","1013","80039"
"Ⓢ","ÉDIMBOURG Arrivée","411","1781020","68","80107"
"Ⓢ","Victoria Street","1181","1782201","196","80303"
"Ⓢ"," Château Édimbourg","2164","1784365","346","80649"
"Ⓢ","Glasgow","13620","1797985","2077","82726"
"Ⓢ","Stirling Castle 56.116500° -3.936900° Château historique - Arrêt 1h - Batailles indépendance écossaise","34372","1832357","2551","85277"
"Ⓢ","Visite St Andrews Pier Edge Viewpoint","95057","1927414","5516","90793"
"Ⓢ","Étape 14","53450","1980864","4075","94868"
"Ⓢ","Visite Blair Castle Gardens","47874","2028737","2687","97555"
"⚑","Blair Castle N2 (prix_indicatif alternatives_proches)","84","2028821","43","97598"
